	MedCodeId	Observations	Term	back_pain
0	a416139010	10000000	Low back pain	back_pain
1	a38727013	3000000	Sciatica	back_pain
2	a252314011	3000000	C/O - low back pain	back_pain
3	a501991000006110	2000000	Back pain	back_pain
4	a252311015	2000000	Backache	back_pain
5	a252315012	2000000	Back pain without radiation NOS	back_pain
6	a400286017	1000000	"Backache, unspecified"	back_pain
7	a400284019	800000	Pain in lumbar spine	back_pain
8	a502061000006113	700000	Backache symptom	back_pain
9	a1481870016	600000	Cervical spondylosis	back_pain
10	a311252013	600000	Lumbago with sciatica	back_pain
11	a415888015	600000	Chronic low back pain	back_pain
12	a416146018	500000	Mechanical low back pain	back_pain
13	a455791000006110	400000	Acute thoracic back pain	back_pain
14	a369379014	400000	Acute back pain with sciatica	back_pain
15	a400267013	400000	Cervical spondylosis without myelopathy	back_pain
16	a415893017	300000	Acute back pain - lumbar	back_pain
17	a359432012	200000	Lumbar spondylosis	back_pain
18	a80324016	100000	Lumbosacral spondylosis without myelopathy	back_pain
19	a400266016	100000	Spondylosis and allied disorders	back_pain
20	a455801000006111	100000	Acute back pain - unspecified	back_pain
21	a1705871000006118	90000	Cervical spondylosis	back_pain
22	a252312010	90000	Backache with radiation	back_pain
23	a311141013	80000	Degenerative disc disease	back_pain
24	a108431018	70000	Cervical spondylosis with myelopathy	back_pain
25	a311091014	60000	Cervical spondylosis with radiculopathy	back_pain
26	a311168013	60000	Lumbar disc prolapse with radiculopathy	back_pain
27	a130001000006111	60000	Spondylosis	back_pain
28	a2579112017	50000	C/O - lumbar pain	back_pain
29	a854731000006115	50000	Radiculopathy	back_pain
30	a1573941000006111	40000	Thoracic back pain	back_pain
31	a890991000006119	30000	Backache NOS	back_pain
32	a252317016	30000	Backache symptom NOS	back_pain
33	a455771000006114	20000	Acute low back pain	back_pain
34	a311164010	20000	Cervical disc prolapse with radiculopathy	back_pain
35	a453181013	20000	Lumbosacral strain	back_pain
36	a455431014	20000	Prolapsed lumbar intervertebral disc with sciatica	back_pain
37	a311163016	10000	Disc prolapse with radiculopathy	back_pain
38	a400271011	10000	Spondylosis NOS	back_pain
39	a311106014	10000	Lumbosacral spondylosis with radiculopathy	back_pain
40	a1481872012	10000	Thoracic spondylosis	back_pain
41	a311191012	10000	Cervical disc disorder with radiculopathy	back_pain
42	a311082010	9000	Lumbosacral spondylosis with myelopathy	back_pain
43	a1933721000006110	8000	Keele SCOPiC (sciatica outcomes in primary care) trial	back_pain
44	a400268015	8000	Thoracic spondylosis without myelopathy	back_pain
45	a311081015	7000	Multiple-level lumbosacral spondylosis without myelopathy	back_pain
46	a4507141000006118	7000	Chronic back pain	back_pain
47	a4405341000006115	7000	Lumbar radiculopathy	back_pain
48	a311057010	6000	Multiple-level cervical spondylosis without myelopathy	back_pain
49	a216625013	6000	Exacerbation of backache	back_pain
50	a4545181000006114	4000	Complaining of low back pain	back_pain
51	a297453019	4000	Lumbosacral radiculopathy	back_pain
52	a252313017	3000	Back pain worse on sneezing	back_pain
53	a2197471000000111	3000	Low back pain clinical pathway	back_pain
54	a11902311000006117	2000	Sacroiliac joint pain	back_pain
55	a3382731000006111	2000	Cervical radiculopathy	back_pain
56	a311095017	2000	Multiple-level cervical spondylosis with radiculopathy	back_pain
57	a311055019	2000	Single-level cervical spondylosis without myelopathy	back_pain
58	a297465015	2000	Nerve root and plexus compressions in spondylosis	back_pain
59	a311118017	2000	Spondylosis without myelopathy	back_pain
60	a411282018	2000	O/E - lumbar pain on palpation	back_pain
61	a311056018	2000	Two-level cervical spondylosis without myelopathy	back_pain
